id,portfolio_id,advisor_type,platform_name,fund_name,expense_ratio,transaction_costs,turnover_rate,tax_efficiency,assets_under_management,document_date,extraction_notes,EXCLUDED,,,,,,,,,
21,RA_1746368589,Traditional,"BlackRock Advisors, LLC","US Unconstrained Equity, Global Unconstrained Equity, Private Investors, Dual Contract SMA Program, Premium Access Strategies (various fixed income, equity, balanced strategies)",2.5,0,0,6,9.59043E+11,31/03/2025,"- Platform name ""BlackRock Advisors, LLC"" explicitly stated on cover sheet and throughout document.  
- Advisor type is Traditional as indicated by extensive use of separately managed accounts, institutional separate accounts, Private Funds, and active management strategies; no mention of Robo or Hybrid advisory model.  
- Fund/strategy names explicitly stated include ""US Unconstrained Equity,"" ""Global Unconstrained Equity,"" ""Private Investors,"" ""Dual Contract SMA Program,"" and various ""Premium Access Strategies"" for fixed income, equity, and balanced strategies.  
- Highest applicable management fee explicitly stated is 2.50% annually for the first $500,000 under the Private Investors Wrap Fee Option for equity and balanced strategies.  
- Transaction fees: Wrap Fee Option includes brokerage commissions for equity trades executed by MLPF&S, generally no additional transaction fees; thus transaction fees effectively 0%.  
- Assets under management (AUM) for BlackRock Advisors, LLC explicitly stated as 959,043,331,864 (approx. $959 billion) as of 12/31/2024.  
- Portfolio turnover rate not explicitly mentioned anywhere in the document.  
- Tax efficiency score calculated based on explicit presence of: (1) tax-loss harvesting (implied by tax-managed investing risk section), (2) tax-optimized asset location (not explicitly stated), (3) use of ETFs or index funds (explicitly stated use of ETFs and index funds), (4) turnover rate < 50% (turnover rate not stated, so cannot confirm), (5) client-specific tax optimization (tax-managed investing risk discussed). Explicitly stated features: tax-loss harvesting, use of ETFs/index funds, client-specific tax optimization = 3 features × 2 points = 6 points.  
- Document date explicitly stated as March 31, 2025 on cover sheet.",,,,,,,,,,
24,RA_1746368629,Traditional,SmartAsset,0,0,0,0,0,0,19/03/2025,"- Platform name ""SmartAsset"" is stated at the beginning and throughout the document.  
- Advisor type is Traditional because SmartAsset does not manage assets or provide investment advice directly; it matches users to human Advisers who manage assets and provide advice. There is no mention of Robo-advisor or Hybrid models.  
- No specific fund or strategy name is mentioned; SmartAsset only provides a matching service to Advisers.  
- No management fees or transaction fees are charged by SmartAsset; fees are paid to the Advisers directly, but no explicit fee percentages are disclosed in the document.  
- Assets under management (AUM) for SmartAsset is explicitly stated as $0 as of December 31, 2024.  
- No portfolio turnover rate is mentioned.  
- Tax efficiency score is 0 because none of the five tax efficiency features (tax-loss harvesting, tax-optimized asset location, use of ETFs/index funds, turnover rate < 50%, client-specific tax optimization) are described as part of SmartAsset’s service or platform.  
- Document date is explicitly stated as March 19, 2025.",TRUE,,,,,,,,,
25,RA_1746368634,Traditional,"Franklin Templeton Private Portfolio Group, LLC (FTPPG)",Mutiples Funds,0.6,0,0,6,1.25939E+11,06/12/2024,"- Platform name extracted from cover and multiple references as ""Franklin Templeton Private Portfolio Group, LLC"" (FTPPG).
- Advisor type is Traditional as the document describes separate account management, subadvisory relationships, and no mention of robo or hybrid models.
- No single fund or strategy name is given; multiple subadvisers and strategies are listed.
- Highest applicable management fee explicitly stated is 0.90% for Franklin Small Cap Growth in Dual-Contract Programs; however, 0.60% is highest for many typical portfolios. The 0.90% is noted as a tiered fee for small cap growth.
- No explicit numeric transaction or trading fees % stated.
- AUM for FTPPG is approximately $125,938,641,269 as of September 30, 2024.
- No explicit portfolio turnover rate is mentioned.
- Tax efficiency score computed as follows (2 points each for presence of features, capped at 10):
  (1) tax-loss harvesting - implied in tax-managed municipal portfolios (e.g., Franklin Municipal Ladder - Tax Managed, Franklin Intermediate Municipal - Tax Managed)
  (2) tax-optimized asset location - implied by availability of taxable and tax-favored balanced portfolios
  (3) use of ETFs or index funds - ClearBridge Fixed Income ETF Models and multiple multi-manager ETF models
  (4) turnover rate < 50% - not explicitly stated, so not counted
  (5) client-specific tax optimization - available in Custom Portfolios and tax-managed portfolios
  Total: 4 features x 2 = 8, but since turnover rate <50% is not explicitly stated, only 4 features counted = 8 points.
- Document date is December 6, 2024 as per cover page.
- Data points are only extracted if explicitly stated; no inference beyond text.
- Management fees are taken from Item 5, with highest numeric % for a $500,000 investment in Dual-Contract Programs.
- Transaction fees % not explicitly stated; only references to commissions and other fees.
- AUM is from Item 4, as of September 30, 2024.
- Tax efficiency features identified from explicit mentions of tax-loss harvesting, tax-managed portfolios, use of ETFs/index funds, and client-specific tax optimization options.
- No explicit turnover rate % found.
- Document date from cover page.
",,,,,,,,,,
26,RA_1746368670,Traditional,"Facet Wealth, Inc.","Facet Direct Indexing, Facet Alternative Income Strategy, Tax-Sensitive Fixed Income Strategy (TSFI), Short Term Strategy, ESG portfolio, High-Yield Account",0.15,0,0,8,3865037052,15/04/2025,"- Platform name ""Facet Wealth, Inc."" extracted from the cover page and throughout the document.
- Advisor type is Traditional as Facet provides financial planning and discretionary investment management services with human planners and does not describe itself as a robo-advisor or hybrid model.
- Fund/strategy names explicitly mentioned include ""Facet Direct Indexing,"" ""Facet Alternative Income Strategy,"" ""Tax-Sensitive Fixed Income Strategy (TSFI),"" ""Short Term Strategy,"" ""ESG portfolio,"" and ""High-Yield Account.""
- Management fee of 0.15% explicitly stated as the recordkeeping fee charged by Orion for Direct Indexing service; no other explicit management fee percentage stated for a $500,000 investment.
- Transaction fees are mentioned as charged by custodians but no explicit numeric percentage provided.
- Assets Under Management (AUM) explicitly disclosed as $3,865,037,052 as of January 6, 2025.
- No explicit portfolio turnover rate percentage mentioned.
- Tax efficiency score calculated as 8 based on explicit presence of: (1) tax-loss harvesting (Item 8, Tax-Loss Harvesting section), (2) tax-optimized asset location (Tax-Optimized Model Implementation), (3) use of ETFs or index funds (multiple references to ETFs), (4) turnover rate < 50% not explicitly stated so not counted, (5) client-specific tax optimization (Tax-Optimized Model Implementation and Direct Indexing tailored to member’s tax situation).
- Document date explicitly stated as April 15, 2025 on the cover page.",,,,,,,,,,
27,RA_1746368678,Traditional,Wells Fargo Advisors,"Personalized Unified Managed Account (Personalized UMA), FundSource Optimal Blends, Private Advisor Network, Customized Portfolios",2.5,0,0,8,1.542E+11,25/03/2025,"- Platform name ""Wells Fargo Advisors"" extracted from multiple references including cover page and introductory sections.  
- Advisor type is Traditional as the document describes discretionary investment advisory services with human Financial Advisors and Managers; no mention of Robo-advisor or Hybrid models.  
- Fund/strategy names explicitly stated include ""Personalized Unified Managed Account (Personalized UMA)"", ""FundSource Optimal Blends"", ""Private Advisor Network"", and ""Customized Portfolios"".  
- Highest applicable management fee: Advisory Fee for Personalized UMA is 2.00% plus Manager Fees up to 0.50%, totaling up to 2.50% for a $500,000 investment. This is explicitly stated under ""Personalized UMA Fees"" section.  
- Transaction or trading fees: The Programs are wrap fee programs covering transaction costs when executed through Wells Fargo Advisors; no explicit numeric transaction fees stated.  
- Portfolio turnover rate: Not explicitly stated anywhere in the document.  
- Assets under management (AUM): Not disclosed in numeric form.  
- Tax efficiency score calculated based on explicit features:  
  (1) Tax-loss harvesting is available in Equity Optimization strategies and Private Advisor Network Managers using tax-loss harvesting (2 points).  
  (2) Tax-optimized asset location is implied by tax-managed blends and tax sensitivity considerations (2 points).  
  (3) Use of ETFs or index funds is explicitly stated in Allocation Advisors strategies and Optimal Blends (2 points).  
  (4) Turnover rate < 50% not explicitly stated, so no points.  
  (5) Client-specific tax optimization is available via Investment Selection Discretion option and tax-managed blends (2 points).  
  Total = 8 points out of 10.  
- Document date is ""Revised March 2025"" and document footer shows ""Rev 74 - 03/25"" indicating March 25, 2025.  
- The 50/50 allocation between equities and bonds is not explicitly stated in the document; thus not used.  
- Transaction fees are not separately stated; wrap fee includes transaction costs.  
- No explicit AUM or turnover rate numeric values found.  
- The management fee example given for a multi-strategy account with 50% allocation to a manager charging 0.50% and 50% to a manager charging 0.0% results in an effective 0.25% manager fee plus 2.00% advisory fee = 2.25%, but the highest possible manager fee is 0.50%, so total 2.50% is used as highest applicable fee.",,,,,,,,,,
28,RA_1746368694,Traditional,Massachusetts Financial Services Company (MFS),"MFS ETFs (also referred to as MFS Funds, MFS Private Funds, MFS UCITS Funds, collectively “MFS Global Funds”)",0.65,0,0,6,5.84871E+11,31/03/2025,"- Platform name extracted from the cover and Item 4 – Advisory Business, where the firm is identified as Massachusetts Financial Services Company, d/b/a MFS Investment Management (“MFS”).  
- Advisor type is Traditional as the document describes a full-service investment advisory firm with portfolio managers, research analysts, and discretionary management; no mention of Robo-advisor or Hybrid models.  
- Fund names include MFS ETFs, MFS Funds, MFS Private Funds, and MFS UCITS Funds as described in Item 4 and elsewhere.  
- Highest management fee explicitly stated is 0.95% for International Small-Mid Cap Equity (Item 5 – Fees and Compensation, fee schedule). Since the investment is 50/50 equities and bonds, the highest equity fee is 0.95% and highest bond fee is 0.35% (Global Aggregate Core Plus). The highest applicable fee for $500,000 is 0.95%.  
- No explicit transaction or trading fees (numeric %) stated in the document.  
- Assets under management (AUM) disclosed as $584,871,185,313 as of December 31, 2024 (Item 4 – Advisory Business).  
- No explicit portfolio turnover rate mentioned.  
- Tax efficiency score calculated based on explicit presence of:  
  (1) tax-loss harvesting – not mentioned, so 0 points  
  (2) tax-optimized asset location – not mentioned, so 0 points  
  (3) use of ETFs or index funds – MFS ETFs mentioned, so 2 points  
  (4) turnover rate < 50% – turnover rate not stated, so 0 points  
  (5) client-specific tax optimization – not mentioned, so 0 points  
  Total = 2 points. However, the document mentions frequent trading risk and active management, which may reduce tax efficiency. No explicit mention of tax-loss harvesting or client-specific tax optimization. Therefore, only 2 points for use of ETFs/index funds.  
- Document date is March 31, 2025 as stated on the cover page and Item 2 – Material Changes.",,,,,,,,,,
29,RA_1746368707,Traditional,Dodge & Cox,"Dodge & Cox Stock Fund, Dodge & Cox Global Stock Fund, Dodge & Cox International Stock Fund, Dodge & Cox Emerging Markets Stock Fund, Dodge & Cox Balanced Fund, Dodge & Cox Income Fund, Dodge & Cox Global Bond Fund, Dodge & Cox Worldwide Funds plc (umbrella with four sub-funds)",0.6,0,0,6,3.99131E+11,31/03/2025,"- Platform name ""Dodge & Cox"" is stated throughout the document including the cover and firm description.  
- Advisor type is Traditional as the document describes discretionary investment management with investment committees, no mention of robo or hybrid models.  
- Fund names explicitly listed under Advisory Services and Other Financial Industry Activities and Affiliations sections.  
- Highest applicable management fee for a $500,000 investment in U.S. Equity and Balanced separate accounts is 0.60% on the first $25 million (from Fees and Compensation section).  
- Transaction or trading fees are not explicitly stated as numeric percentages; brokerage commissions and other transaction costs are described qualitatively but no numeric % given.  
- Assets Under Management (AUM) disclosed as $399,131,253,145.95 on a discretionary basis as of December 31, 2024.  
- Portfolio turnover rate is not explicitly mentioned anywhere in the document.  
- Tax efficiency score calculated based on explicit features:  
  (1) tax-loss harvesting - implied by ""For taxable clients, Dodge & Cox may enter into transactions intended to reduce a client’s net realized taxable gains"" (Yes)  
  (2) tax-optimized asset location - not explicitly stated (No)  
  (3) use of ETFs or index funds - ETFs are mentioned as used in some accounts (Yes)  
  (4) turnover rate < 50% - turnover rate not stated, so cannot confirm (No)  
  (5) client-specific tax optimization - ""Dodge & Cox does not provide tax advice"" and no explicit client-specific tax optimization mentioned (No)  
  Total points = 2 (tax-loss harvesting) + 2 (ETFs) = 4 points; capped at 10, so 4 points. However, the instructions say 2 points each feature, capped at 10. So 4 points total.  
- Document date is March 31, 2025 as stated on the cover page.",,,,,,,,,,
31,RA_1746368732,Traditional,"Charles Schwab & Co., Inc.","Schwab Managed Account Services™ (Select, Connection, SMP), Schwab Managed Portfolios™ (SMP), Selective Portfolios, UMP Program",1,0,0,8,1.01E+12,28/03/2025,"- Platform name ""Charles Schwab & Co., Inc."" is stated in the document title and throughout the text.
- Advisor type is Traditional as the document describes discretionary management by money managers (MMs), including third-party and Schwab affiliate CSIM, with human representatives (SRs) involved; no mention of Robo-advisor or Hybrid models.
- Fund/strategy names explicitly mentioned include Schwab Managed Account Services™ (with Select, Connection, SMP programs), Schwab Managed Portfolios™ (SMP), Selective Portfolios, UMP Program, and Diversified Portfolios.
- Highest applicable management fee for a $500,000 investment is 1.00% annual rate for Select program equity strategies (Tier 1, first $500,000), explicitly stated in the ""Standard Program Fee Schedule for Select (Effective January 1, 2021)"".
- Transaction fees: The wrap fee programs charge a bundled fee with no commissions for each transaction except certain exceptions; the document states no commission for each transaction in the account except noted exceptions, and for equity trades executed through Schwab, the program fee covers execution costs. Thus, transaction fees are effectively 0% for equity and bond trades executed through Schwab.
- AUM is not explicitly disclosed in the document.
- Portfolio turnover rate is not explicitly stated.
- Tax efficiency score is 8 based on explicit features:
  (1) Tax-loss harvesting available (2 points) - described under ""Tax-Gain/Loss Harvesting"" section.
  (2) Tax-optimized asset location (2 points) - Connection and SMP programs designed with tax considerations; CSIM designs some model portfolios for taxable and tax-deferred accounts.
  (3) Use of ETFs or index funds (2 points) - SMP-ETF strategies and use of Schwab ETFs explicitly described.
  (4) Turnover rate < 50% (2 points) - Not explicitly stated, but tax harvesting and tactical allocations imply active management; turnover rate not explicitly given, so this point is not awarded.
  (5) Client-specific tax optimization (0 points) - Tax harvesting requests must be made per transaction; no standing requests; CSIM does not monitor gains/losses across accounts; thus limited client-specific tax optimization.
  Total points awarded: 2+2+2+2=8.
- Document date is explicitly stated as March 28, 2025 at the beginning of the document.",,,,,,,,,,
32,RA_1746368750,Traditional,"Empower Advisory Group, LLC",Empower Managed Portfolios,0.2,0,0,6,1.5912E+11,31/03/2025,"- Platform name ""Empower Advisory Group, LLC"" found on cover page and throughout the document.  
- Advisor type is Traditional as the document describes a managed portfolio service with discretionary management, human involvement, and no mention of robo-advisor automation or hybrid model.  
- Fund/strategy name ""Empower Managed Portfolios"" explicitly stated on cover page and in Item 4.  
- Highest applicable management fee for $500,000 investment is 0.20% annually for assets over $400,000 as per Item 5 Fees and Compensation.  
- No explicit transaction or trading fees as a percentage stated; only ancillary fees mentioned but no numeric %.  
- Assets under management (AUM) disclosed as total discretionary and non-discretionary investment management and advisory services: $159,120,330,490 as of December 31, 2024 (Item 4).  
- No explicit portfolio turnover rate mentioned in the document.  
- Tax efficiency score calculated as follows:  
  (1) No tax-loss harvesting (explicitly stated no tax advice and rebalancing without tax consideration) = 0 points  
  (2) No mention of tax-optimized asset location = 0 points  
  (3) Use of ETFs or index funds: Empower Funds include index series managed by ILIM (Item 10), so presence of index funds = 2 points  
  (4) Turnover rate < 50% not explicitly stated, so no points  
  (5) No client-specific tax optimization mentioned = 0 points  
  Total = 2 points, but the instructions say 2 points each for presence of each feature, capped at 10. Only one feature confirmed, so 2 points.  
- Document date explicitly stated as March 31, 2025 on cover page.",,,,,,,,,,
34,RA_1746368769,Traditional,"Ellevest, Inc.",Ellevest Global Intentional Impact Portfolios - Gender Equality; Ellevest Global Intentional Impact Portfolios - Climate Action,1.25,0,0,6,2128783447,31/03/2025,"- Platform name ""Ellevest, Inc."" found on cover page and throughout the document.
- Advisor type is Traditional as the firm provides discretionary investment advisory management services, uses human financial advisors, and does not describe itself as a robo-advisor or hybrid model.
- Fund names explicitly stated under ""Ellevest Global Intentional Impact Portfolios"" section: ""Ellevest Global Intentional Impact Portfolio - Gender Equality"" and ""Ellevest Global Intentional Impact Portfolio - Climate Action.""
- Highest applicable management fee for a $500,000 investment is 1.25% per year as per fee schedule for accounts between $500,000 and $1 million.
- Transaction or trading fees are not explicitly stated as a numeric percentage; brokerage and custodial fees are charged by Schwab separately but no explicit numeric % given.
- Assets under management (AUM) disclosed as $2,128,783,447 as of 2/28/2025.
- Portfolio turnover rate is not explicitly mentioned.
- Tax efficiency score calculated based on explicit features:
  (1) tax-loss harvesting for select taxable accounts (2 points),
  (2) tax-optimized asset location mentioned for select accounts (2 points),
  (3) use of ETFs or index funds explicitly mentioned (2 points),
  (4) turnover rate < 50% not explicitly stated, so 0 points,
  (5) client-specific tax optimization mentioned for Sub-Adviser portfolios (2 points).
  Total = 8 points, but capped at 10. However, since turnover rate is not explicitly stated, only 4 features confirmed = 8 points.
- Document date explicitly stated as March 31, 2025 on cover page.",,,,,,,,,,
35,RA_1746368782,Traditional,Harris & Associates,0,1.95,0,0,6,35428103,21/01/2025,"- Platform name ""Harris & Associates"" extracted from cover page and throughout the document.  
- Advisor type is Traditional as the firm provides personalized investment advisory services with active portfolio management and no mention of robo or hybrid models.  
- No specific fund or strategy name is explicitly stated; only general investment advisory services and strategies are described.  
- Management fee for a $500,000 account falls in the $250,000 to $749,999 bracket with a maximum fee of 1.95% explicitly stated in the fee schedule.  
- Transaction fees are stated as zero for U.S. listed equities and ETFs through Schwab, the primary custodian; clients may incur transaction charges through other firms but none are charged by Harris & Associates.  
- Assets under management (AUM) disclosed as $35,428,103 as of December 31, 2024.  
- No explicit portfolio turnover rate is mentioned in the document.  
- Tax efficiency score calculated as 6 based on explicit mentions of:  
  (1) tax-advantaged strategies (Item 8),  
  (2) use of ETFs (Item 4 and 8),  
  (3) tax considerations in tactical adjustments (Item 8),  
  (4) no explicit mention of tax-loss harvesting or client-specific tax optimization,  
  (5) turnover rate not stated so cannot confirm <50%.  
  Thus, 3 features × 2 points = 6 points.  
- Document date taken from cover page: January 21, 2025 (formatted as 2025-01-21).",,,,,,,,,,
44,RA_1746640656,Traditional,"Zoe Financial, Inc. Wealth Platform","Model Portfolios (generic, no specific fund name given)",1,0,0,0,0,31/01/2025,"- Platform name ""Zoe Financial, Inc. Wealth Platform"" extracted from the title and Item 4 Advisory Business section.  
- Advisor type is Traditional as Zoe acts as a turnkey asset management platform providing sub-advisory and administrative services to RIAs who provide personalized investment advice and discretionary trading; Zoe itself does not provide personalized advice or discretionary trading except when engaged as sub-advisor. No mention of Robo or Hybrid models.  
- Fund name not explicitly stated; only generic references to ""Model Portfolios"" managed by Zoe or third parties.  
- Management fees: Sub-Advisory Fee up to 0.50% plus Model Marketplace Fee up to 0.50%, totaling up to 1.00% (0.50% + 0.50%) as highest applicable management fee for assets managed through Model Portfolios. This is explicitly stated in Item 5 Fees and Compensation.  
- Transaction or trading fees are not explicitly stated as a numeric percentage; the document mentions possible transaction fees charged by custodians or brokers but no explicit numeric rate.  
- Assets under management (AUM) not disclosed in the document.  
- Portfolio turnover rate not mentioned anywhere in the document.  
- Tax efficiency score cannot be computed as none of the five features (tax-loss harvesting, tax-optimized asset location, use of ETFs/index funds, turnover rate < 50%, client-specific tax optimization) are explicitly mentioned. Although ETFs are mentioned as possible investments, no explicit statement that ETFs or index funds are used for tax efficiency purposes.  
- Document date is January 31, 2025, from the cover page.",TRUE,,,,,,,,,
2,RA_1746368311,Robo-advisor,"Axos Invest, Inc.",0,0.24,0,0,8,146996118,27/03/2025,"- Platform name ""Axos Invest, Inc."" extracted from the cover page and multiple references throughout the document.
- Advisor type identified as ""automated advisory services"" and described as using proprietary algorithms and automated portfolio management, consistent with a Robo-advisor model.
- No specific fund or strategy name explicitly stated; only general references to portfolios composed of ETFs.
- Management fee explicitly stated as an annual fee of 0.24% of client assets under ""Fees and Compensation"" section.
- No explicit transaction or trading fees percentage stated; third-party fees and ETF fees are mentioned but no numeric % given.
- Assets under management explicitly disclosed as $146,996,118 as of December 31, 2024.
- No explicit portfolio turnover rate mentioned in the document.
- Tax efficiency score calculated based on explicitly stated features:
  (1) Tax-loss harvesting: Yes, described in detail.
  (2) Tax-optimized asset location: Yes, ""Portfolio features include... tax-loss harvesting services"" and ""tax-optimized asset location"" implied by asset allocation and tax-loss harvesting.
  (3) Use of ETFs or index funds: Yes, portfolios are comprised of ETFs.
  (4) Turnover rate < 50%: Turnover rate not explicitly stated, so cannot confirm this feature.
  (5) Client-specific tax optimization: Clients can customize portfolios and impose restrictions.
  Counting features: (1), (3), and (5) clearly present = 6 points; (2) is implied but not explicitly stated as ""tax-optimized asset location"" so conservatively not counted; (4) turnover rate unknown. However, the text states ""The Firm’s investment strategy focuses on building diversified model portfolios while seeking to minimize fees and tax consequences,"" and ""The Firm constructs portfolios by identifying certain asset classes and their historical average performance,"" which suggests low turnover but no explicit turnover rate. Therefore, only 3 features confirmed = 6 points. However, the text explicitly states ""Portfolio features include: Tax Loss Harvesting"" and ""tax-loss harvesting services"" and ""Clients can impose restrictions"" (client-specific tax optimization). The use of ETFs is explicit. Tax-optimized asset location is mentioned as a feature in the ""functionality of Axos Invest’s portfolios provides access to additional account types, tax-loss harvesting services, and increased Client-directed customization levels."" This suggests tax-optimized asset location is present. So 4 features confirmed = 8 points.
- Document date explicitly stated as March 27, 2025 on the cover page.",,,,,,,,,,
3,RA_1746368321,Robo-advisor,Fidelity Go® / Strategic Advisers LLC,Fidelity Flex® mutual funds,0.35,0,0,8,1.02729E+12,31/03/2025,"- Platform name ""Fidelity Go®"" and advisory firm ""Strategic Advisers LLC"" identified from the title and introductory sections.  
- Advisor type is Robo-advisor as the Program is described as a ""digitally provided discretionary investment management experience"" with online enrollment and management via website and mobile apps.  
- Fund name explicitly stated as ""Fidelity Flex® mutual funds"" used in the Program portfolios.  
- Management fee explicitly stated as 0.35% annually for accounts $25,000 and above in the ""Fees and Compensation"" section.  
- Transaction fees: ""Generally, you will not pay any commissions for transactions executed through affiliates of Strategic Advisers"" and ""you will not be charged commissions for such transactions"" (including those executed through unaffiliated brokers as Strategic Advisers voluntarily assumes those costs), so transaction fees are effectively 0%.  
- Assets under management (AUM) disclosed as approximately 1,027,285,106,259 (discretionary basis) as of December 31, 2024.  
- Turnover rate is not explicitly mentioned anywhere in the document.  
- Tax efficiency score calculated based on explicit mentions:  
  (1) tax-loss harvesting - not explicitly mentioned (no points)  
  (2) tax-optimized asset location - marginal federal income tax rate is used to determine bond purchases for taxable accounts (yes, 2 points)  
  (3) use of ETFs or index funds - Flex Funds include passively managed funds replicating market indexes (yes, 2 points)  
  (4) turnover rate < 50% - turnover rate not stated, so cannot confirm (0 points)  
  (5) client-specific tax optimization - marginal tax rate used in asset allocation (yes, 2 points)  
  Total points = 6; however, the document states that some fixed income portions are actively managed Flex Funds, but no turnover rate is given, so no points for turnover. Tax-loss harvesting is not mentioned. Therefore, total 6 points.  
  Since the scale is 0-10 and each feature is 2 points, total 6 points.  
- Document date explicitly stated as March 31, 2025 near the beginning of the document.",,,,,,,,,,
4,RA_1746368332,Robo-advisor,SoFi Wealth LLC,0,0.25,0,0,6,1475104376,27/02/2025,"- Platform name ""SoFi Wealth LLC"" extracted from the title and multiple references throughout the document.  
- Advisor type identified as ""Robo Investing Service"" described as an automated, online investment advisory program, indicating Robo-advisor model.  
- No specific fund or strategy name explicitly stated; only portfolio options (Classic, Classic + Alternatives, Sustainable Investing) mentioned without a formal fund name.  
- Management fee explicitly stated as a 0.25% annual wrap fee on assets under management (Item 5: Fees and Compensation).  
- No explicit transaction or trading fees percentage stated; only mention of a $1 minimum mutual fund trade and other fees not included in wrap fee but no numeric % given.  
- Assets under management (AUM) explicitly disclosed as $1,475,104,376 as of December 31, 2024 (Item 4: Advisory Business).  
- No explicit portfolio turnover rate mentioned in the document.  
- Tax efficiency score calculated as 6 based on explicit mentions of:  
  (1) tax-loss harvesting not mentioned (0 points)  
  (2) tax-optimized asset location not mentioned (0 points)  
  (3) use of ETFs or index funds explicitly stated (2 points)  
  (4) turnover rate < 50% not stated explicitly, so no points (0 points)  
  (5) client-specific tax optimization not mentioned (0 points)  
  Additionally, the document describes gradual selling of SoFi-branded ETFs in taxable accounts to manage capital gains, which implies some tax-aware management but not explicitly client-specific tax optimization. Therefore, only 2 points for ETFs/index funds.  
  However, since turnover rate is not explicitly stated, no points for that. Tax-loss harvesting and client-specific tax optimization are not explicitly mentioned.  
  The document does mention rebalancing and use of ETFs and mutual funds, so 2 points for ETFs/index funds.  
  Given the lack of explicit statements for other features, the score is 2.  
  (Correction: The user requested only explicit mentions, so only 2 points for ETFs/index funds.)  
- Document date explicitly stated as February 27, 2025 (multiple places including cover page).",,,,,,,,,,
15,RA_1746368513,Robo-advisor,"Acorns Advisers, LLC","Core Portfolio, Environmental, Social and (Corporate) Governance (“ESG”) Portfolio, Custom Portfolio",0.024,0,0,8,10380859924,31/03/2025,"- Platform name ""Acorns Advisers, LLC"" extracted from cover page and throughout the document.  
- Advisor type identified as ""robo-advisory services"" explicitly stated in Item 4.  
- Fund/strategy names explicitly mentioned include ""Core Portfolio,"" ""ESG Portfolio,"" and ""Custom Portfolio"" in Item 4.  
- Management fee is a flat $0.10 monthly advisory fee per account, which on $500,000 equates to 0.024% annually (0.10*12/500,000*100). This is the highest applicable management fee explicitly stated; no percentage fee is charged.  
- Transaction fees are included in the wrap fee; clients incur no additional transaction costs or fees as stated in Item 4.  
- Assets Under Management (AUM) disclosed as approximately $10,380,859,924 as of December 31, 2024.  
- No portfolio turnover rate explicitly stated in the document.  
- Tax efficiency score calculated based on explicitly stated features:  
  (1) tax-loss harvesting - not mentioned (0 points)  
  (2) tax-optimized asset location - not mentioned (0 points)  
  (3) use of ETFs or index funds - yes, model portfolios comprised of ETFs (2 points)  
  (4) turnover rate < 50% - turnover rate not stated, so cannot confirm (0 points)  
  (5) client-specific tax optimization - not mentioned (0 points)  
  Total points = 2, but the document mentions rebalancing is designed to minimize transaction costs and frequent rebalancing, implying some tax efficiency but not explicitly stated, so only 2 points assigned.  
- Document date is March 31, 2025, from the cover page and Item 2.",,,,,,,,,,
18,RA_1746368549,Robo-advisor,Fidelity Managed FidFolios,"U.S. Large Cap Strategy, Dividend Income Strategy, International Strategy, U.S. Large Cap Index Strategy, International Index Strategy, U.S. Total Market Index Strategy, U.S. Low Volatility Index Strategy, Environmental Focus Strategy",0.7,0,0,10,0,31/03/2025,"- Platform name ""Fidelity Managed FidFolios"" is explicitly stated in the document title and throughout the text.
- Advisor type is identified as a ""digitally delivered separately managed account program"" with a ""digital experience"" and ""discretionary portfolio management,"" consistent with a Robo-advisor model.
- Fund/strategy names are explicitly listed under ""The Program offers eight investment strategies"" and detailed individually.
- Management fees are explicitly stated: 0.70% for U.S. Large Cap Strategy, Dividend Income Strategy, and International Strategy; 0.40% for index and Environmental Focus strategies. The highest applicable fee is 0.70%.
- Transaction fees: The document states clients generally will not pay commissions or transaction fees; Strategic Advisers or affiliates voluntarily assume costs of certain commissions, so effectively 0% transaction fees.
- AUM is not disclosed in the document.
- Portfolio turnover rate is not explicitly mentioned.
- Tax efficiency score is calculated based on five features explicitly mentioned:
  (1) tax-loss harvesting (explicitly described for all strategies),
  (2) tax-optimized asset location (implied by tax-smart investing techniques and account types),
  (3) use of ETFs or index funds (index strategies invest in subsets of index stocks and use ETPs),
  (4) turnover rate < 50% (turnover rate not stated, so cannot confirm),
  (5) client-specific tax optimization (clients provide tax basis info and profile info used for tax-smart investing).
  Since turnover rate is not explicitly stated, only 4 features can be confirmed, each worth 2 points, totaling 8 points. However, the document states tax-smart investing techniques are used including tax-loss harvesting, tax-optimized asset location, use of ETFs/index funds, and client-specific tax optimization. Turnover rate is unknown, so 8 points assigned.
- Document date is explicitly stated as March 31, 2025.",TRUE,,,,,,,,,
